Date,Open,High,Low,Close,Adj Close,Volume,RSI_14,WT_10,WT_11,CCI_20,CCI_2,ADX_20,ADX_2,RSI_9,RSI_2,Candlestick Shape,Candlestick Pattern,Price Change,200 MA,Primary Trend,RSI,Target,Direction
2022-06-14,7.735,7.98,7.585,7.82,7.82,30564100,39.79540803853854,-83.33333333333333,-83.33333333333333,-94.34466558501434,66.66666666666667,27.296765877035654,85.70226607948734,37.64225460618056,28.542961285726253,Bullish,None,0.1800000000000006,17.686799935000007,Bearish,40.27546499838602,0,-1.0
2022-06-15,7.92,8.3,7.815,8.12,8.12,38235300,43.18834666671151,-67.70833333333337,-67.70833333333337,-49.19593502535069,66.66666666666646,27.182140185795426,49.33620244910131,43.503788163465,62.22123322641959,Bullish,None,0.29999999999999893,17.62054993000001,Bearish,43.469785216013825,0,-1.0
2022-06-16,7.84,7.985,7.58,7.67,7.67,36793500,39.58464307471171,-91.14583333333334,-91.14583333333334,-92.18503407168161,-66.66666666666684,27.216491366809873,43.37251796536127,37.54785560061526,25.775971181138075,Bearish,None,-0.4499999999999993,17.55119992500001,Bearish,40.01277775086123,0,-1.0
2022-06-17,7.7,8.33,7.69,8.24,8.24,45518000,45.75855921383869,-61.45833333333332,-61.45833333333332,-41.44036529552782,66.6666666666665,26.892732813172366,41.93614766537277,47.74277711645205,70.1175438016945,Bullish,None,0.5700000000000003,17.48149992500001,Bearish,45.88347579475657,-1,-1.0
2022-06-30,9.02,9.19,8.72,9.07,9.07,33636400,50.987527182353034,-43.12977099236639,-43.12977099236639,23.42649933145509,-66.66666666666667,19.5883664653224,62.14797056092333,51.845707189235924,16.802897746029473,Bullish,None,0.8300000000000001,17.41424992500001,Bearish,53.0836517909916,0,0.0
2022-07-07,9.76,10.28,9.75,10.18,10.18,35672500,59.67024481682708,-8.176100628930868,-6.989247311827994,116.61408464001627,66.66666666666568,17.852842158090773,74.73606659338635,64.3236821877651,79.52890307181364,Bullish,None,1.1099999999999994,17.35609993000001,Bearish,60.62812447411318,0,1.0
2022-07-13,9.22,9.55,9.05,9.28,9.28,32461300,49.7705299609466,-66.26506024096393,-66.26506024096393,11.916984281019438,-66.66666666666667,15.8931917108091,76.88574152052075,47.5290569444633,8.52773791181419,Bullish,None,-0.9000000000000004,17.29184993500001,Bearish,53.163281397676975,0,-1.0
2022-07-14,9.23,9.28,8.85,8.9,8.9,26702100,45.91689929171616,-89.15662650602412,-89.15662650602412,-30.841615677641876,-66.66666666666667,15.23776795414725,84.75691761739435,41.451059670031285,3.156569657070939,Bearish,None,-0.379999999999999,17.227949935000012,Bearish,50.34472768429602,0,-1.0
2022-07-15,9.01,9.12,8.65,9.04,9.04,34918100,47.528834775499874,-77.45664739884401,-77.45664739884401,-50.26652011015432,-66.66666666666667,14.787783532435899,90.47040762886547,44.398111718266456,33.85452678287796,Bullish,Doji,0.1399999999999988,17.16034994000001,Bearish,51.36771058365045,0,0.0
2022-07-18,9.25,9.45,9.005,9.03,9.03,32428400,47.42011580512003,-78.03468208092492,-78.03468208092492,-32.87570030166875,66.66666666666667,14.051611991898545,57.38728107238315,44.21925523910551,32.38788562692691,Bearish,None,-0.009999999999999787,17.094599940000013,Bearish,51.28643461352876,0,-1.0
