Date,Open,High,Low,Close,Adj Close,Volume,RSI_14,WT_10,WT_11,CCI_20,CCI_2,ADX_20,ADX_2,RSI_9,RSI_2,Candlestick Shape,Candlestick Pattern,Price Change,200 MA,Primary Trend,RSI,Direction,Target
2021-07-16,21.6,21.709999,21.24,21.370001,21.370001,19503100,31.772514699519284,-91.6858891454966,-92.96872909545496,-126.28228376046287,-66.66666666666998,19.482659586409408,91.31561127835,22.770106343623862,2.212021466868159,Bearish,None,-0.09999800000000292,22.686050030000015,Bearish,31.772514699519284,-1.0,0
2021-07-19,20.969999,21.690001,20.549999,21.540001,21.540001,30314400,33.57299865704435,-78.7096435657447,-79.33190410607429,-115.36529737225737,-66.66666666666798,20.095976827412663,95.02769754399034,26.158983088731535,42.84366795069045,Bullish,None,0.1700000000000017,22.746250035000017,Bearish,33.57299865704435,-1.0,0
2021-07-20,21.629999,22.35,21.219999,22.18,22.18,22954000,39.99315684565848,-56.06467491518199,-64.94623013065372,-80.7631109081394,66.66666666666667,20.265440820088024,55.29018328138235,37.73136098007885,86.15574261973747,Bullish,None,0.6399989999999995,22.809850035000018,Bearish,39.99315684565848,-1.0,0
2021-07-21,22.27,22.68,22.120001,22.52,22.52,20437300,43.13737239067668,-33.10697242310869,-46.900256900200326,-56.12208985284219,66.66666666666622,20.22911831554655,50.83789248714888,43.06424530666582,92.33066861845901,Bullish,None,0.33999999999999986,22.87645003500002,Bearish,43.13737239067668,-1.0,-1
2021-07-23,22.01,22.08,21.51,21.809999,21.809999,17653300,38.4758380708397,-57.21564874998381,-57.21564874998381,-69.73020513918628,-66.66666666666667,20.49568284000427,40.70740745369362,35.57827074240011,26.045408095299607,Bearish,Hammer,-0.26000099999999904,23.00120003000002,Bearish,38.4758380708397,-1.0,-1
2021-07-26,21.799999,22.299999,21.48,22.129999,22.129999,16267900,41.679818884293795,-35.24592817789818,-46.34978176585271,-59.742939170002785,66.66666666666805,20.548513946962316,22.72444262882173,41.157574185410546,62.0228677095256,Bullish,Engulfing,0.3200000000000003,23.061850025000023,Bearish,41.679818884293795,-1.0,-1
2021-07-27,21.959999,22.110001,21.09,21.68,21.68,23078700,38.632985373515744,-46.94833476604001,-53.68850258667925,-72.59177906205028,-66.66666666666667,20.758893189635874,39.0723801271383,36.19798110266975,26.18962206457291,Bearish,None,-0.4499990000000018,23.120250025000022,Bearish,38.632985373515744,-1.0,-1
2021-07-28,21.75,22.615,21.690001,22.559999,22.559999,25073600,46.82001601776184,-5.633847120259496,-5.633847120259496,-32.75144299909796,66.66666666666703,20.629832085877148,38.295969255475384,49.56784422991451,77.3561229496187,Bullish,None,0.8799990000000015,23.183300020000026,Bearish,46.82001601776184,-1.0,-1
2021-07-29,22.780001,22.85,22.139999,22.18,22.18,19219100,44.08495642138503,-29.130422117207825,-29.130422117207825,-17.616233504194813,66.66666666666667,20.358444105716963,49.0777739618151,44.98808310661397,48.38733757485484,Bearish,None,-0.37999900000000153,23.244750020000023,Bearish,44.08495642138503,-1.0,-1
2021-07-30,21.85,22.406,21.709999,21.709999,21.709999,15889200,40.90233930103095,-49.56523931946119,-49.56523931946119,-47.35766438119702,-66.66666666666667,20.296737409271056,39.91459774155454,39.863201672332764,25.118474187205603,Bearish,None,-0.4700009999999999,23.305950015000022,Bearish,40.90233930103095,-1.0,-1
2021-08-02,21.91,22.370001,21.48,22.1,22.1,21372900,44.48383983998252,-42.613636363636324,-32.60868147448629,-37.54057026430958,66.6666666666724,20.34075334624388,48.40278232522994,45.64358452655257,58.35447321575653,Bullish,None,0.3900010000000016,23.369750015000022,Bearish,44.48383983998252,-1.0,-1
2021-08-03,22.030001,22.27,21.709999,22.24,22.24,17040100,45.75471738201901,-34.65909090909105,-34.65909090909105,-16.432266190002277,66.66666666666403,20.38256848636806,52.646874617067645,47.67473714831892,68.4182773968584,Bullish,None,0.13999999999999702,23.431400015000023,Bearish,45.75471738201901,-1.0,-1
2021-08-04,22.200001,22.540001,22.07,22.299999,22.299999,15537400,46.32184723294516,-31.25005681818189,-31.25005681818189,26.777587398135793,66.66666666666667,20.228653678695828,48.02931856567291,48.60075003129839,73.83731435496573,Bullish,None,0.059999000000001246,23.49435001000002,Bearish,46.32184723294516,-1.0,-1
2021-08-05,22.219999,22.77,22.02,22.52,22.52,18575200,48.45005518533274,-18.75000000000009,-18.75000000000009,54.781212952705374,66.66666666666845,19.919034321889026,60.47158290183766,52.097742945367756,88.41506531119947,Bullish,None,0.2200009999999999,23.559100010000023,Bearish,48.45005518533274,-1.0,-1
2021-08-11,23.07,23.190001,22.09,22.35,22.35,34679000,47.50463283392552,-57.35294117647052,-57.35294117647052,85.55944230455115,-66.66666666666667,18.17399058394532,54.50219589598047,48.628576465111216,31.027827926692787,Bearish,None,-0.5700000000000003,23.821000010000024,Bearish,47.50463283392552,-1.0,-1
2021-08-12,24.450001,25.76,23.584999,24.889999,24.889999,189287200,63.53505693703095,-20.32712616822434,-20.32712616822434,364.3512467188599,66.66666666666667,18.003146792762053,65.5106677637833,70.14067018376548,88.99264533359984,Bullish,None,2.539998999999998,23.895700005000027,Bullish,63.53505693703095,1.0,0
2021-08-13,25.0,25.1,24.309999,24.9,24.9,52395100,63.58221241574448,-20.093457943925298,-20.093457943925298,274.5341028772099,66.66666666666667,17.84084519113795,71.01490369768472,70.19595408833183,89.06501368683324,Bearish,None,0.010000999999999038,23.965450005000026,Bullish,63.58221241574448,1.0,0
2021-08-16,24.9,24.9,23.77,24.5,24.5,45907300,60.22751898002667,-31.111103429357204,-29.439252336448625,178.9255767546077,-66.66666666666605,17.3779694799881,37.36379081696447,64.79776875556699,58.368418076657036,Bearish,Hammer,-0.3999999999999986,24.033700005000025,Bullish,60.22751898002667,1.0,0
2021-08-17,23.9,24.59,23.74,23.969999,23.969999,35348300,56.010658221779465,-45.088197755213535,-44.197544642581555,123.20755123930728,-66.66666666666586,16.9212102675403,19.097919727496105,58.13379050489675,30.506126453767067,Bullish,Doji,-0.5300009999999986,24.099800000000023,Bearish,56.010658221779465,0.0,0
2021-08-18,24.07,25.940001,23.68,25.280001,25.280001,92065600,62.92103656045652,-15.903614457831333,-15.903614457831333,156.80210051663872,66.66666666666694,17.08070344969978,49.35120371282,67.443881605652,79.31569968625445,Bullish,None,1.3100019999999972,24.175550005000023,Bullish,62.92103656045652,1.0,0
2021-08-23,24.02,24.93,23.9,24.82,24.82,35705300,58.32430758999322,-29.09092750884997,-27.053151182052538,84.74045194256666,66.66666666666667,17.14078988990492,41.07005007487251,60.35230594823137,71.1600224011119,Bullish,None,0.8099999999999987,24.38170000500002,Bullish,58.32430758999322,1.0,0
2021-08-24,25.0,25.35,24.76,25.1,25.1,37227400,59.73737960249984,-21.818202125142243,-21.818202125142243,103.05551002370342,66.66666666666667,17.369420658182854,55.5154456511976,62.34080134875596,79.40782683673828,Bullish,Doji,0.28000000000000114,24.447800005000023,Bullish,59.73737960249984,1.0,0
2021-08-26,24.4,25.41,24.360001,24.870001,24.870001,46179400,57.258487477181355,-46.929803978156194,-45.435205575196996,76.7070076175891,66.66666666666667,17.07100350281948,24.184285514183415,58.41464051362754,62.67637971038491,Bullish,None,0.520000999999997,24.551400010000023,Bullish,57.258487477181355,1.0,1
2021-08-27,25.049999,26.09,24.91,25.709999,25.709999,52268500,61.442287164409635,-15.637901234567904,-15.637901234567904,108.9141297532892,66.66666666666667,17.27181945146173,44.46494329727984,64.42098548881032,84.9135282794023,Bullish,None,0.8399980000000014,24.609950005000023,Bullish,61.442287164409635,1.0,1
2021-08-30,25.74,26.6,25.620001,25.76,25.76,44139300,61.68272385778724,-28.571428571428555,-28.571428571428555,126.87224242196156,66.66666666666667,17.665576461758928,63.2024850344673,64.76181431005865,85.91272878443968,Bullish,Doji,0.05000100000000174,24.658950005000023,Bullish,61.68272385778724,1.0,1
